company_id,company_name,country,size,logo,website,about_us
84189,"ISB Vietnam",Japan,100-499,https://assets.topdev.vn/images/2020/10/20/logoks9b7tnLjWib2H4iltah9OhruH4aFOWK-XJprQ.png,https://isb-vietnam.com.vn/expertise/?lang=en,"As an esteemed offshore software development outsourcing company in Vietnam, ISB Vietnam provides the outsourcing services with Passions, Teamwork and Innovations. With quality engineers and expert consultants who are committed to deliver the excellent results, we help enterprises achieve their goals.Keeping our mission to contribute to society in our mind, we serve every and each customer with the great interest in their business and utmost care."
84508,"Mirae Asset Finance Company (Vietnam)",South-Korea,5.000-9.999,https://assets.topdev.vn/images/2024/02/05/TopDev-dABBxxi9wRepG2Iz-1707125546.png,http://mafc.com.vn,"Mirae Asset Finance Company Vietnam is a member of Mirae Asset Financial Group, a global financial group from Korea, with 20 years of experience in finance, securities, investment, asset management etc., and is present in 16 countries with 200 offices and branches worldwide."
84681,"CÔNG TY TNHH SAMSUNG SDS VIỆT NAM",South-Korea,"Hơn 1000",https://assets.topdev.vn/images/2024/01/18/TopDev-a058039cffaa55dc00205bcb5d97da44-1705553654.jpg,https://www.samsungsds.com/,"Samsung SDS được thành lập năm 1985 với tư cách là phân nhánh ICT của Tập đoàn Samsung."
85190,"Công ty Cổ phần bGlobal",Vietnam,25-99,https://assets.topdev.vn/images/2023/11/10/TopDev-Asset-44%404x---Pham-Thi-Ngan-Ha-1699589213.png,https://bglobalcorp.com/,"Công ty Cổ phần bGlobal được hình thành từ nhóm các nhà khoa học CNTT hàng đầu trong các trường Đại học và Viện nghiên cứu tại Việt Nam, và chính thức được thành lập từ năm 2019. Công ty chúng tôi cung cấp 3 dịch vụ chính:"
85437,"LG Electronics R&D Vietnam",South-Korea,"Hơn 1000",https://assets.topdev.vn/images/2023/08/21/TopDev-2a58f7a092a6059750d4aec373ef4baf-1692609445.png,https://www.lg.com/vn,"From 1st January 2023, our company will embark on a new milestone to be an independent legal entity, from LG Vehicle components Solution Development Center Vietnam - LG VS DCV -become LG Electronics Development Vietnam Company Limited – LGEDV."
85578,HOIIO,Singapore,100-499,https://assets.topdev.vn/images/2022/05/19/TopDev-hoiiologooutputcopy-SamPan-1652941726.jpg,https://www.b3networks.com/,"HOIIO is a software company and provide cloud communication and apps to businesses on a subscription and usage based business model. We are founded in Singapore in 2007 and have expanded regionally with offices in Malaysia, Hong Kong and Vietnam.  We are a firm believer in cloud technologies and its ability to empower a new era of agile businesses and have invested over 8 years of research and development into our awards winning agile cloud platform."
85593,"Ngân hàng TMCP Sài Gòn Thương tín (Sacombank)",Vietnam,10.000-19.999,https://assets.topdev.vn/images/2022/07/25/TopDev-Screenshot2022-07-25141645-1658733437.png,https://sacombankcareer.com/,"Sacombank được thành lập vào ngày 21/12/1991, là một trong những Ngân hàng Thương mại Cổ phần đầu tiên được thành lập tại TP.HCM. Qua 32 năm hình thành và phát triển, Sacombank hiện là một trong những ngân hàng hàng đầu Việt Nam có nền tảng phát triển hiệu quả, an toàn và bền vững"
85604,"BStar Solutions",Vietnam,100-499,https://assets.topdev.vn/images/2022/09/05/TopDev-BStar-Logo-TrmAnh-1662372298.png,https://bstarsolutions.com/,"As a proud member of Galaxy Holdings - Sovico Group, BStar Solutions Digital stands as a dynamic force in the digital realm, recognized for our prowess in talent and customizable solutions. We are dedicated to propelling businesses worldwide to new heights through cutting-edge digital, software, and IT solutions. Across diverse industries, including Aviation, EAI, Fintech, Manufacturing, Automotive, Blockchain, Medical, Health Tech, Real Estate, Hospitality, Education, and beyond, we serve as a strategic partner, empowering organizations with innovation and excellence."
85748,Floware,"United States",25-99,https://assets.topdev.vn/images/2021/03/05/flowarelogo-PhuongQuynh-gEJz8.png,https://www.floware.com/,"Overview about Floware"
85784,LinkQ,Vietnam,25-99,https://assets.topdev.vn/images/2022/06/28/TopDev-LOGOLINKQERP-1656410271.png,https://linkq.com.vn/,"Công Ty TNHH Phần Mềm LinkQ ERP là công ty chuyên sâu vào lĩnh vực phát triển phần mềm quản lý doanh nghiệp sản xuất."
